# NetGPI 1.1	Timestamp: 20221020034925
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
FUN_003252-T1	326	Not GPI-Anchored	-	0.986	*
FUN_003230-T1	191	Not GPI-Anchored	-	0.994	*
FUN_003506-T1	472	Not GPI-Anchored	-	0.994	*
FUN_003220-T1	301	Not GPI-Anchored	-	0.987	*
FUN_003189-T1	363	GPI-Anchored	330	0.162	S
FUN_003161-T1	289	Not GPI-Anchored	-	0.979	*
FUN_003157-T1	673	Not GPI-Anchored	-	0.981	*
FUN_003147-T1	546	Not GPI-Anchored	-	0.987	*
FUN_003135-T1	381	Not GPI-Anchored	-	0.995	*
FUN_003501-T1	173	GPI-Anchored	141	0.525	S
FUN_003520-T1	469	Not GPI-Anchored	-	0.956	*
FUN_004052-T1	233	Not GPI-Anchored	-	0.994	*
FUN_003740-T1	663	Not GPI-Anchored	-	0.983	*
FUN_004021-T1	1617	Not GPI-Anchored	-	0.995	*
FUN_003965-T1	387	Not GPI-Anchored	-	0.990	*
FUN_003910-T1	331	Not GPI-Anchored	-	0.980	*
FUN_003882-T1	217	Not GPI-Anchored	-	0.991	*
FUN_003872-T1	357	GPI-Anchored	326	0.306	S
FUN_003861-T1	543	Not GPI-Anchored	-	0.992	*
FUN_003716-T1	534	Not GPI-Anchored	-	0.991	*
FUN_003533-T1	438	Not GPI-Anchored	-	0.992	*
FUN_003616-T1	230	Not GPI-Anchored	-	0.995	*
FUN_003611-T1	228	Not GPI-Anchored	-	0.877	*
FUN_003599-T1	511	Not GPI-Anchored	-	0.992	*
FUN_003563-T1	545	GPI-Anchored	517	0.690	S
FUN_003550-T1	235	GPI-Anchored	205	0.781	S
FUN_003540-T1	211	GPI-Anchored	183	0.620	S
FUN_004933-T1	374	Not GPI-Anchored	-	0.992	*
FUN_004961-T1	382	Not GPI-Anchored	-	0.993	*
FUN_000044-T1	629	Not GPI-Anchored	-	0.995	*
FUN_005994-T1	324	Not GPI-Anchored	-	0.993	*
FUN_006122-T1	389	Not GPI-Anchored	-	0.987	*
FUN_006121-T1	216	GPI-Anchored	192	0.719	S
FUN_006047-T1	740	Not GPI-Anchored	-	0.993	*
FUN_006046-T1	208	Not GPI-Anchored	-	0.973	*
FUN_006034-T1	716	Not GPI-Anchored	-	0.993	*
FUN_006022-T1	767	Not GPI-Anchored	-	0.994	*
FUN_005993-T1	322	Not GPI-Anchored	-	0.995	*
FUN_006262-T1	229	GPI-Anchored	204	0.535	S
FUN_005992-T1	295	Not GPI-Anchored	-	0.995	*
FUN_005991-T1	254	Not GPI-Anchored	-	0.995	*
FUN_005990-T1	295	Not GPI-Anchored	-	0.996	*
FUN_005931-T1	231	GPI-Anchored	206	0.645	N
FUN_005928-T1	467	Not GPI-Anchored	-	0.992	*
FUN_005897-T1	624	Not GPI-Anchored	-	0.987	*
FUN_006193-T1	744	Not GPI-Anchored	-	0.989	*
FUN_006309-T1	298	Not GPI-Anchored	-	0.995	*
FUN_005878-T1	285	Not GPI-Anchored	-	0.995	*
FUN_006451-T1	490	Not GPI-Anchored	-	0.991	*
FUN_006621-T1	701	Not GPI-Anchored	-	0.994	*
FUN_006612-T1	674	Not GPI-Anchored	-	0.992	*
FUN_006608-T1	969	Not GPI-Anchored	-	0.986	*
FUN_006555-T1	512	Not GPI-Anchored	-	0.993	*
FUN_006478-T1	391	GPI-Anchored	367	0.527	G
FUN_006460-T1	516	Not GPI-Anchored	-	0.994	*
FUN_006411-T1	1761	Not GPI-Anchored	-	0.988	*
FUN_006340-T1	492	Not GPI-Anchored	-	0.995	*
FUN_006408-T1	599	Not GPI-Anchored	-	0.994	*
FUN_006401-T1	1197	Not GPI-Anchored	-	0.993	*
FUN_006393-T1	374	GPI-Anchored	347	0.511	S
FUN_006384-T1	229	GPI-Anchored	206	0.467	S
FUN_006370-T1	262	GPI-Anchored	239	0.513	S
FUN_006341-T1	512	Not GPI-Anchored	-	0.994	*
FUN_005894-T1	533	Not GPI-Anchored	-	0.990	*
FUN_005807-T1	127	Not GPI-Anchored	-	0.995	*
FUN_004963-T1	255	Not GPI-Anchored	-	0.996	*
FUN_005129-T1	554	Not GPI-Anchored	-	0.995	*
FUN_005280-T1	113	Not GPI-Anchored	-	0.987	*
FUN_005243-T1	322	GPI-Anchored	298	0.560	S
FUN_005242-T1	433	GPI-Anchored	368	0.594	S
FUN_005209-T1	145	GPI-Anchored	120	0.269	A
FUN_005205-T1	244	Not GPI-Anchored	-	0.989	*
FUN_005155-T1	423	Not GPI-Anchored	-	0.989	*
FUN_005126-T1	1107	Not GPI-Anchored	-	0.975	*
FUN_005386-T1	672	Not GPI-Anchored	-	0.993	*
FUN_005064-T1	337	Not GPI-Anchored	-	0.986	*
FUN_005053-T1	183	Not GPI-Anchored	-	0.993	*
FUN_005044-T1	255	Not GPI-Anchored	-	0.994	*
FUN_005034-T1	106	Not GPI-Anchored	-	0.992	*
FUN_005016-T1	136	Not GPI-Anchored	-	0.989	*
FUN_004985-T1	292	Not GPI-Anchored	-	0.995	*
FUN_005382-T1	287	Not GPI-Anchored	-	0.992	*
FUN_005404-T1	118	GPI-Anchored	92	0.485	A
FUN_005766-T1	495	Not GPI-Anchored	-	0.975	*
FUN_005570-T1	756	Not GPI-Anchored	-	0.992	*
FUN_005728-T1	379	Not GPI-Anchored	-	0.973	*
FUN_005706-T1	573	Not GPI-Anchored	-	0.994	*
FUN_005674-T1	229	Not GPI-Anchored	-	0.995	*
FUN_005620-T1	487	Not GPI-Anchored	-	0.991	*
FUN_005608-T1	624	Not GPI-Anchored	-	0.988	*
FUN_005584-T1	538	Not GPI-Anchored	-	0.988	*
FUN_005519-T1	454	Not GPI-Anchored	-	0.993	*
FUN_005416-T1	424	Not GPI-Anchored	-	0.979	*
FUN_005483-T1	169	Not GPI-Anchored	-	0.991	*
FUN_005480-T1	148	Not GPI-Anchored	-	0.797	*
FUN_005465-T1	320	Not GPI-Anchored	-	0.994	*
FUN_005461-T1	178	Not GPI-Anchored	-	0.987	*
FUN_005459-T1	1370	Not GPI-Anchored	-	0.982	*
FUN_005443-T1	142	Not GPI-Anchored	-	0.991	*
FUN_003128-T1	187	GPI-Anchored	166	0.471	G
FUN_003073-T1	151	Not GPI-Anchored	-	0.990	*
FUN_003067-T1	292	GPI-Anchored	267	0.529	S
FUN_001006-T1	827	Not GPI-Anchored	-	0.995	*
FUN_001104-T1	398	Not GPI-Anchored	-	0.995	*
FUN_001100-T1	317	Not GPI-Anchored	-	0.995	*
FUN_001063-T1	1007	Not GPI-Anchored	-	0.987	*
FUN_001039-T1	546	Not GPI-Anchored	-	0.984	*
FUN_001029-T1	555	Not GPI-Anchored	-	0.982	*
FUN_001023-T1	563	Not GPI-Anchored	-	0.980	*
FUN_000994-T1	159	Not GPI-Anchored	-	0.995	*
FUN_001160-T1	618	Not GPI-Anchored	-	0.991	*
FUN_000987-T1	751	Not GPI-Anchored	-	0.996	*
FUN_000913-T1	321	Not GPI-Anchored	-	0.964	*
FUN_000912-T1	500	Not GPI-Anchored	-	0.982	*
FUN_000901-T1	1530	Not GPI-Anchored	-	0.993	*
FUN_000856-T1	1163	Not GPI-Anchored	-	0.992	*
FUN_000830-T1	297	Not GPI-Anchored	-	0.993	*
FUN_001118-T1	297	Not GPI-Anchored	-	0.992	*
FUN_001195-T1	225	GPI-Anchored	202	0.533	S
FUN_003064-T1	781	Not GPI-Anchored	-	0.994	*
FUN_001455-T1	606	Not GPI-Anchored	-	0.988	*
FUN_001608-T1	204	Not GPI-Anchored	-	0.994	*
FUN_001559-T1	412	Not GPI-Anchored	-	0.933	*
FUN_001523-T1	435	Not GPI-Anchored	-	0.980	*
FUN_001505-T1	152	Not GPI-Anchored	-	0.993	*
FUN_001498-T1	287	Not GPI-Anchored	-	0.992	*
FUN_001482-T1	357	Not GPI-Anchored	-	0.994	*
FUN_001420-T1	557	Not GPI-Anchored	-	0.994	*
FUN_001299-T1	637	GPI-Anchored	610	0.718	S
FUN_001413-T1	454	GPI-Anchored	429	0.608	N
FUN_001410-T1	474	GPI-Anchored	448	0.449	S
FUN_001394-T1	388	Not GPI-Anchored	-	0.995	*
FUN_001366-T1	420	GPI-Anchored	396	0.552	S
FUN_001365-T1	325	Not GPI-Anchored	-	0.996	*
FUN_001316-T1	436	GPI-Anchored	407	0.571	S
FUN_000814-T1	476	Not GPI-Anchored	-	0.994	*
FUN_000788-T1	492	Not GPI-Anchored	-	0.972	*
FUN_000787-T1	1264	Not GPI-Anchored	-	0.994	*
FUN_000284-T1	646	Not GPI-Anchored	-	0.985	*
FUN_000395-T1	184	GPI-Anchored	159	0.604	S
FUN_000394-T1	151	GPI-Anchored	126	0.615	S
FUN_000393-T1	165	GPI-Anchored	138	0.361	D
FUN_000371-T1	949	Not GPI-Anchored	-	0.993	*
FUN_000368-T1	771	Not GPI-Anchored	-	0.994	*
FUN_000288-T1	647	Not GPI-Anchored	-	0.993	*
FUN_000281-T1	249	GPI-Anchored	232	0.350	S
FUN_000782-T1	183	GPI-Anchored	154	0.619	S
FUN_000233-T1	165	GPI-Anchored	136	0.545	S
FUN_000186-T1	666	GPI-Anchored	642	0.404	S
FUN_000135-T1	141	Not GPI-Anchored	-	0.994	*
FUN_000096-T1	150	Not GPI-Anchored	-	0.993	*
FUN_000093-T1	242	GPI-Anchored	220	0.545	D
FUN_000056-T1	492	Not GPI-Anchored	-	0.788	*
FUN_000405-T1	288	Not GPI-Anchored	-	0.935	*
FUN_000451-T1	358	GPI-Anchored	334	0.472	S
FUN_000478-T1	420	Not GPI-Anchored	-	0.992	*
FUN_000483-T1	578	Not GPI-Anchored	-	0.986	*
FUN_000499-T1	650	Not GPI-Anchored	-	0.994	*
FUN_000521-T1	553	Not GPI-Anchored	-	0.994	*
FUN_000534-T1	495	Not GPI-Anchored	-	0.993	*
FUN_000542-T1	2123	Not GPI-Anchored	-	0.971	*
FUN_000546-T1	1019	Not GPI-Anchored	-	0.671	*
FUN_000580-T1	377	Not GPI-Anchored	-	0.994	*
FUN_000582-T1	330	Not GPI-Anchored	-	0.995	*
FUN_000593-T1	800	Not GPI-Anchored	-	0.994	*
FUN_000596-T1	414	GPI-Anchored	390	0.475	S
FUN_000646-T1	146	Not GPI-Anchored	-	0.987	*
FUN_000662-T1	151	Not GPI-Anchored	-	0.991	*
FUN_000708-T1	516	Not GPI-Anchored	-	0.994	*
FUN_000746-T1	449	GPI-Anchored	425	0.569	N
FUN_001628-T1	177	Not GPI-Anchored	-	0.992	*
FUN_001657-T1	921	Not GPI-Anchored	-	0.996	*
FUN_001689-T1	1937	Not GPI-Anchored	-	0.991	*
FUN_002621-T1	187	Not GPI-Anchored	-	0.995	*
FUN_002792-T1	362	Not GPI-Anchored	-	0.900	*
FUN_002715-T1	604	Not GPI-Anchored	-	0.994	*
FUN_002714-T1	301	Not GPI-Anchored	-	0.995	*
FUN_002708-T1	573	Not GPI-Anchored	-	0.993	*
FUN_002670-T1	460	GPI-Anchored	433	0.653	N
FUN_002643-T1	1037	Not GPI-Anchored	-	0.987	*
FUN_002579-T1	190	GPI-Anchored	167	0.303	S
FUN_001696-T1	765	Not GPI-Anchored	-	0.992	*
FUN_002570-T1	490	Not GPI-Anchored	-	0.994	*
FUN_002564-T1	599	Not GPI-Anchored	-	0.994	*
FUN_002543-T1	661	Not GPI-Anchored	-	0.992	*
FUN_002537-T1	1310	Not GPI-Anchored	-	0.992	*
FUN_002534-T1	170	GPI-Anchored	137	0.203	S
FUN_002527-T1	255	Not GPI-Anchored	-	0.995	*
FUN_002809-T1	504	Not GPI-Anchored	-	0.994	*
FUN_002810-T1	261	GPI-Anchored	234	0.511	S
FUN_002816-T1	1120	Not GPI-Anchored	-	0.995	*
FUN_002839-T1	536	Not GPI-Anchored	-	0.989	*
FUN_002859-T1	242	Not GPI-Anchored	-	0.995	*
FUN_002874-T1	140	Not GPI-Anchored	-	0.993	*
FUN_002879-T1	194	Not GPI-Anchored	-	0.994	*
FUN_002893-T1	599	GPI-Anchored	574	0.457	G
FUN_002918-T1	592	Not GPI-Anchored	-	0.993	*
FUN_002925-T1	246	GPI-Anchored	227	0.219	S
FUN_002931-T1	1475	Not GPI-Anchored	-	0.991	*
FUN_002942-T1	249	Not GPI-Anchored	-	0.993	*
FUN_002976-T1	209	GPI-Anchored	185	0.614	S
FUN_002977-T1	320	Not GPI-Anchored	-	0.985	*
FUN_002979-T1	484	Not GPI-Anchored	-	0.991	*
FUN_003039-T1	287	Not GPI-Anchored	-	0.978	*
FUN_003057-T1	374	Not GPI-Anchored	-	0.994	*
FUN_002510-T1	864	Not GPI-Anchored	-	0.994	*
FUN_002467-T1	510	Not GPI-Anchored	-	0.979	*
FUN_002404-T1	228	GPI-Anchored	200	0.336	S
FUN_001856-T1	328	Not GPI-Anchored	-	0.989	*
FUN_001990-T1	1262	Not GPI-Anchored	-	0.995	*
FUN_001972-T1	576	Not GPI-Anchored	-	0.996	*
FUN_001938-T1	491	GPI-Anchored	466	0.431	S
FUN_001925-T1	576	Not GPI-Anchored	-	0.993	*
FUN_001916-T1	374	Not GPI-Anchored	-	0.991	*
FUN_001909-T1	249	Not GPI-Anchored	-	0.993	*
FUN_001853-T1	368	Not GPI-Anchored	-	0.946	*
FUN_002371-T1	525	Not GPI-Anchored	-	0.992	*
FUN_001850-T1	217	GPI-Anchored	189	0.606	S
FUN_001786-T1	623	GPI-Anchored	596	0.401	S
FUN_001755-T1	361	Not GPI-Anchored	-	0.995	*
FUN_001750-T1	310	Not GPI-Anchored	-	0.886	*
FUN_001746-T1	206	Not GPI-Anchored	-	0.993	*
FUN_001702-T1	201	Not GPI-Anchored	-	0.993	*
FUN_002009-T1	554	Not GPI-Anchored	-	0.994	*
FUN_002066-T1	423	Not GPI-Anchored	-	0.995	*
FUN_002119-T1	293	Not GPI-Anchored	-	0.994	*
FUN_002286-T1	394	GPI-Anchored	371	0.464	G
FUN_002349-T1	579	Not GPI-Anchored	-	0.993	*
FUN_002345-T1	370	Not GPI-Anchored	-	0.931	*
FUN_002342-T1	981	Not GPI-Anchored	-	0.992	*
FUN_002319-T1	292	Not GPI-Anchored	-	0.994	*
FUN_002316-T1	290	Not GPI-Anchored	-	0.988	*
FUN_002315-T1	277	Not GPI-Anchored	-	0.988	*
FUN_002263-T1	1447	Not GPI-Anchored	-	0.990	*
FUN_002256-T1	1072	Not GPI-Anchored	-	0.994	*
FUN_002238-T1	261	GPI-Anchored	234	0.563	S
FUN_002200-T1	280	GPI-Anchored	251	0.331	S
FUN_002178-T1	390	Not GPI-Anchored	-	0.993	*
FUN_002176-T1	157	GPI-Anchored	128	0.495	S
FUN_002153-T1	627	Not GPI-Anchored	-	0.987	*
FUN_006644-T1	115	Not GPI-Anchored	-	0.994	*
FUN_002707-T1	94	Not GPI-Anchored	-	0.994	*
FUN_000420-T1	35	Not GPI-Anchored	-	0.996	*
