# Identifier	Cytoplasmic effector	Apoplastic effector	Non-effector	Prediction
FUN_003067-T1 FUN_003067	-	-	Y (0.68)	Non-effector
FUN_003073-T1 FUN_003073	-	Y (0.798)	-	Apoplastic effector
FUN_003128-T1 FUN_003128	-	-	Y (0.827)	Non-effector
FUN_003135-T1 FUN_003135	-	-	Y (0.907)	Non-effector
FUN_003147-T1 FUN_003147	-	-	Y (0.952)	Non-effector
FUN_003157-T1 FUN_003157	-	-	Y (0.934)	Non-effector
FUN_003161-T1 FUN_003161	-	-	Y (0.688)	Non-effector
FUN_003189-T1 FUN_003189	-	Y (0.549)	-	Apoplastic effector
FUN_003220-T1 FUN_003220	-	Y (0.651)	-	Apoplastic effector
FUN_003230-T1 FUN_003230	-	Y (0.901)	-	Apoplastic effector
FUN_003236-T1 FUN_003236	-	-	Y (0.703)	Non-effector
FUN_003252-T1 FUN_003252	-	Y (0.56)	-	Apoplastic effector
FUN_003341-T1 FUN_003341	-	Y (0.612)	-	Apoplastic effector
FUN_003354-T1 FUN_003354	-	-	Y (0.613)	Non-effector
FUN_003411-T1 FUN_003411	-	-	Y (0.814)	Non-effector
FUN_003487-T1 FUN_003487	-	Y (0.553)	-	Apoplastic effector
FUN_003499-T1 FUN_003499	-	Y (0.657)	-	Apoplastic effector
FUN_003501-T1 FUN_003501	-	-	Y (0.786)	Non-effector
FUN_003506-T1 FUN_003506	-	Y (0.545)	-	Apoplastic effector
FUN_003520-T1 FUN_003520	-	-	Y (0.762)	Non-effector
FUN_003533-T1 FUN_003533	-	-	Y (0.609)	Non-effector
FUN_003540-T1 FUN_003540	-	Y (0.606)	-	Apoplastic effector
FUN_003550-T1 FUN_003550	-	Y (0.644)	-	Apoplastic effector
FUN_003563-T1 FUN_003563	-	-	Y (0.812)	Non-effector
FUN_003599-T1 FUN_003599	-	-	Y (0.864)	Non-effector
FUN_003611-T1 FUN_003611	-	Y (0.554)	-	Apoplastic effector
FUN_003616-T1 FUN_003616	Y (0.591)	-	-	Cytoplasmic effector
FUN_003716-T1 FUN_003716	-	-	Y (0.877)	Non-effector
FUN_003740-T1 FUN_003740	-	-	Y (0.987)	Non-effector
FUN_003861-T1 FUN_003861	-	-	Y (0.837)	Non-effector
FUN_003872-T1 FUN_003872	-	Y (0.552)	-	Apoplastic effector
FUN_003882-T1 FUN_003882	-	Y (0.659)	-	Apoplastic effector
FUN_003910-T1 FUN_003910	-	Y (0.506)	-	Apoplastic effector
FUN_003965-T1 FUN_003965	Y (0.67)	-	-	Cytoplasmic effector
FUN_004021-T1 FUN_004021	-	-	Y (0.904)	Non-effector
FUN_004052-T1 FUN_004052	Y (0.688)	-	-	Cytoplasmic effector
FUN_004083-T1 FUN_004083	-	-	Y (0.578)	Non-effector
FUN_004091-T1 FUN_004091	-	-	Y (0.713)	Non-effector
FUN_004092-T1 FUN_004092	-	-	Y (0.755)	Non-effector
FUN_004093-T1 FUN_004093	-	Y (0.636)	-	Apoplastic effector
FUN_004094-T1 FUN_004094	-	Y (0.661)	-	Apoplastic effector
FUN_004109-T1 FUN_004109	-	-	Y (0.556)	Non-effector
FUN_004115-T1 FUN_004115	-	-	Y (0.729)	Non-effector
FUN_004124-T1 FUN_004124	-	-	Y (0.61)	Non-effector
FUN_004131-T1 FUN_004131	-	-	Y (0.986)	Non-effector
FUN_004143-T1 FUN_004143	Y (0.856)	-	-	Cytoplasmic effector
FUN_004175-T1 FUN_004175	-	-	Y (0.691)	Non-effector
FUN_004218-T1 FUN_004218	-	-	Y (0.897)	Non-effector
FUN_004231-T1 FUN_004231	-	-	Y (0.868)	Non-effector
FUN_004263-T1 FUN_004263	Y (0.906)	-	-	Cytoplasmic effector
FUN_004332-T1 FUN_004332	-	-	Y (0.873)	Non-effector
FUN_004336-T1 FUN_004336	-	-	Y (0.543)	Non-effector
FUN_004356-T1 FUN_004356	Y (0.567)	-	-	Cytoplasmic effector
FUN_004363-T1 FUN_004363	-	-	Y (0.779)	Non-effector
FUN_004417-T1 FUN_004417	Y (0.62)	-	-	Cytoplasmic effector
FUN_004447-T1 FUN_004447	-	-	Y (0.756)	Non-effector
FUN_004484-T1 FUN_004484	Y (0.516)	-	-	Cytoplasmic effector
FUN_004510-T1 FUN_004510	-	-	Y (0.695)	Non-effector
FUN_004531-T1 FUN_004531	-	-	Y (0.952)	Non-effector
FUN_004532-T1 FUN_004532	-	-	Y (0.679)	Non-effector
FUN_004600-T1 FUN_004600	Y (0.695)	-	-	Cytoplasmic effector
FUN_004620-T1 FUN_004620	-	-	Y (0.587)	Non-effector
FUN_004644-T1 FUN_004644	Y (0.761)	-	-	Cytoplasmic effector
FUN_004667-T1 FUN_004667	-	-	Y (0.623)	Non-effector
FUN_004697-T1 FUN_004697	-	-	Y (0.792)	Non-effector
FUN_004755-T1 FUN_004755	-	-	Y (0.803)	Non-effector
FUN_004758-T1 FUN_004758	Y (0.878)	-	-	Cytoplasmic effector
FUN_004790-T1 FUN_004790	-	-	Y (0.781)	Non-effector
FUN_004835-T1 FUN_004835	-	Y (0.833)	-	Apoplastic effector
FUN_004886-T1 FUN_004886	-	-	Y (0.508)	Non-effector
FUN_004928-T1 FUN_004928	-	-	Y (0.795)	Non-effector
FUN_004933-T1 FUN_004933	-	-	Y (0.583)	Non-effector
FUN_004934-T1 FUN_004934	-	Y (0.528)	-	Apoplastic effector
FUN_004961-T1 FUN_004961	-	-	Y (0.571)	Non-effector
FUN_004963-T1 FUN_004963	Y (0.653)	-	-	Cytoplasmic effector
FUN_004985-T1 FUN_004985	-	-	Y (0.541)	Non-effector
FUN_005016-T1 FUN_005016	-	-	Y (0.531)	Non-effector
FUN_005034-T1 FUN_005034	Y (0.55)	-	-	Cytoplasmic effector
FUN_005044-T1 FUN_005044	-	-	Y (0.878)	Non-effector
FUN_005053-T1 FUN_005053	-	Y (0.899)	-	Apoplastic effector
FUN_005064-T1 FUN_005064	-	Y (0.621)	-	Apoplastic effector
FUN_005126-T1 FUN_005126	-	-	Y (0.898)	Non-effector
FUN_005129-T1 FUN_005129	-	-	Y (0.919)	Non-effector
FUN_005155-T1 FUN_005155	Y (0.735)	-	-	Cytoplasmic effector
FUN_005205-T1 FUN_005205	Y (0.601)	Y (0.719)	-	Apoplastic/cytoplasmic effector
FUN_005209-T1 FUN_005209	-	-	Y (0.654)	Non-effector
FUN_005242-T1 FUN_005242	-	-	Y (0.727)	Non-effector
FUN_005243-T1 FUN_005243	-	-	Y (0.773)	Non-effector
FUN_005280-T1 FUN_005280	Y (0.839)	-	-	Cytoplasmic effector
FUN_005382-T1 FUN_005382	-	-	Y (0.74)	Non-effector
FUN_005386-T1 FUN_005386	-	-	Y (0.951)	Non-effector
FUN_005404-T1 FUN_005404	-	Y (0.666)	-	Apoplastic effector
FUN_005416-T1 FUN_005416	-	-	Y (0.635)	Non-effector
FUN_005443-T1 FUN_005443	Y (0.711)	Y (0.528)	-	Cytoplasmic/apoplastic effector
FUN_005459-T1 FUN_005459	-	-	Y (0.693)	Non-effector
FUN_005461-T1 FUN_005461	Y (0.864)	Y (0.532)	-	Cytoplasmic/apoplastic effector
FUN_005465-T1 FUN_005465	-	-	Y (0.746)	Non-effector
FUN_005480-T1 FUN_005480	Y (0.831)	-	-	Cytoplasmic effector
FUN_005483-T1 FUN_005483	Y (0.683)	Y (0.893)	-	Apoplastic/cytoplasmic effector
FUN_005519-T1 FUN_005519	-	-	Y (0.81)	Non-effector
FUN_005570-T1 FUN_005570	-	-	Y (0.852)	Non-effector
FUN_005584-T1 FUN_005584	-	-	Y (0.889)	Non-effector
FUN_005608-T1 FUN_005608	-	-	Y (0.618)	Non-effector
FUN_005620-T1 FUN_005620	-	-	Y (0.897)	Non-effector
FUN_005674-T1 FUN_005674	Y (0.664)	-	-	Cytoplasmic effector
FUN_005706-T1 FUN_005706	-	-	Y (0.735)	Non-effector
FUN_005728-T1 FUN_005728	-	-	Y (0.773)	Non-effector
FUN_005766-T1 FUN_005766	-	-	Y (0.565)	Non-effector
FUN_005807-T1 FUN_005807	Y (0.852)	-	-	Cytoplasmic effector
FUN_005878-T1 FUN_005878	-	-	Y (0.622)	Non-effector
FUN_005894-T1 FUN_005894	-	-	Y (0.987)	Non-effector
FUN_005897-T1 FUN_005897	-	-	Y (0.792)	Non-effector
FUN_005928-T1 FUN_005928	-	-	Y (0.583)	Non-effector
FUN_005931-T1 FUN_005931	-	Y (0.922)	-	Apoplastic effector
FUN_005990-T1 FUN_005990	Y (0.57)	-	-	Cytoplasmic effector
FUN_005991-T1 FUN_005991	-	-	Y (0.674)	Non-effector
FUN_005992-T1 FUN_005992	Y (0.528)	-	-	Cytoplasmic effector
FUN_005993-T1 FUN_005993	-	-	Y (0.515)	Non-effector
FUN_005994-T1 FUN_005994	-	Y (0.578)	-	Apoplastic effector
FUN_006022-T1 FUN_006022	-	-	Y (0.933)	Non-effector
FUN_006034-T1 FUN_006034	-	-	Y (0.944)	Non-effector
FUN_006046-T1 FUN_006046	Y (0.526)	-	-	Cytoplasmic effector
FUN_006047-T1 FUN_006047	-	-	Y (0.933)	Non-effector
FUN_006121-T1 FUN_006121	-	-	Y (0.854)	Non-effector
FUN_006122-T1 FUN_006122	-	Y (0.652)	-	Apoplastic effector
FUN_006193-T1 FUN_006193	-	Y (0.765)	-	Apoplastic effector
FUN_006262-T1 FUN_006262	-	-	Y (0.541)	Non-effector
FUN_006309-T1 FUN_006309	Y (0.835)	-	-	Cytoplasmic effector
FUN_006340-T1 FUN_006340	-	-	Y (0.787)	Non-effector
FUN_006341-T1 FUN_006341	-	-	Y (0.84)	Non-effector
FUN_006370-T1 FUN_006370	-	-	Y (0.887)	Non-effector
FUN_006384-T1 FUN_006384	-	-	Y (0.566)	Non-effector
FUN_006393-T1 FUN_006393	-	-	Y (0.636)	Non-effector
FUN_006401-T1 FUN_006401	-	-	Y (0.874)	Non-effector
FUN_006408-T1 FUN_006408	-	-	Y (0.774)	Non-effector
FUN_006411-T1 FUN_006411	-	-	Y (0.839)	Non-effector
FUN_006451-T1 FUN_006451	-	-	Y (0.508)	Non-effector
FUN_006460-T1 FUN_006460	-	Y (0.525)	-	Apoplastic effector
FUN_006478-T1 FUN_006478	-	-	Y (0.816)	Non-effector
FUN_006555-T1 FUN_006555	-	-	Y (0.868)	Non-effector
FUN_006608-T1 FUN_006608	-	-	Y (0.961)	Non-effector
FUN_006612-T1 FUN_006612	-	-	Y (0.851)	Non-effector
FUN_006621-T1 FUN_006621	-	Y (0.84)	-	Apoplastic effector
FUN_006644-T1 FUN_006644	Y (0.571)	Y (0.868)	-	Apoplastic/cytoplasmic effector
