# NetGPI 1.1	Timestamp: 20221020032742
# ID	Seq-length	Pred. GPI-Anchored	Omega-site pos.	Likelihood	Amino-acid
FUN_003977-T1	699	Not GPI-Anchored	-	0.994	*
FUN_003969-T1	337	Not GPI-Anchored	-	0.992	*
FUN_003965-T1	575	GPI-Anchored	551	0.355	S
FUN_003851-T1	304	Not GPI-Anchored	-	0.988	*
FUN_003618-T1	441	GPI-Anchored	419	0.742	S
FUN_003806-T1	815	Not GPI-Anchored	-	0.992	*
FUN_003776-T1	230	GPI-Anchored	207	0.672	S
FUN_003681-T1	746	Not GPI-Anchored	-	0.993	*
FUN_003674-T1	459	Not GPI-Anchored	-	0.996	*
FUN_003673-T1	420	Not GPI-Anchored	-	0.992	*
FUN_003660-T1	416	Not GPI-Anchored	-	0.992	*
FUN_004899-T1	473	Not GPI-Anchored	-	0.994	*
FUN_004963-T1	301	Not GPI-Anchored	-	0.983	*
FUN_003119-T1	479	Not GPI-Anchored	-	0.985	*
FUN_005870-T1	261	GPI-Anchored	238	0.364	S
FUN_006051-T1	137	Not GPI-Anchored	-	0.984	*
FUN_006038-T1	286	Not GPI-Anchored	-	0.994	*
FUN_006004-T1	441	Not GPI-Anchored	-	0.990	*
FUN_005915-T1	452	Not GPI-Anchored	-	0.994	*
FUN_005901-T1	235	GPI-Anchored	204	0.404	S
FUN_005898-T1	487	Not GPI-Anchored	-	0.993	*
FUN_005860-T1	1114	Not GPI-Anchored	-	0.992	*
FUN_006107-T1	381	Not GPI-Anchored	-	0.993	*
FUN_005835-T1	411	Not GPI-Anchored	-	0.992	*
FUN_005809-T1	156	Not GPI-Anchored	-	0.991	*
FUN_005804-T1	279	GPI-Anchored	254	0.730	S
FUN_005802-T1	295	Not GPI-Anchored	-	0.992	*
FUN_005799-T1	845	Not GPI-Anchored	-	0.994	*
FUN_005786-T1	233	Not GPI-Anchored	-	0.991	*
FUN_006082-T1	356	Not GPI-Anchored	-	0.992	*
FUN_006120-T1	854	Not GPI-Anchored	-	0.995	*
FUN_005701-T1	163	Not GPI-Anchored	-	0.983	*
FUN_006297-T1	247	GPI-Anchored	219	0.421	S
FUN_006539-T1	149	Not GPI-Anchored	-	0.995	*
FUN_006452-T1	226	GPI-Anchored	200	0.476	D
FUN_006441-T1	521	Not GPI-Anchored	-	0.987	*
FUN_006364-T1	542	Not GPI-Anchored	-	0.989	*
FUN_006354-T1	390	GPI-Anchored	366	0.479	G
FUN_006304-T1	1465	Not GPI-Anchored	-	0.992	*
FUN_006291-T1	593	Not GPI-Anchored	-	0.987	*
FUN_006169-T1	763	Not GPI-Anchored	-	0.988	*
FUN_006270-T1	1133	Not GPI-Anchored	-	0.987	*
FUN_006266-T1	794	Not GPI-Anchored	-	0.994	*
FUN_006249-T1	226	Not GPI-Anchored	-	0.992	*
FUN_006231-T1	231	Not GPI-Anchored	-	0.994	*
FUN_006220-T1	372	Not GPI-Anchored	-	0.989	*
FUN_006202-T1	129	Not GPI-Anchored	-	0.993	*
FUN_005783-T1	161	GPI-Anchored	128	0.382	A
FUN_005674-T1	398	Not GPI-Anchored	-	0.991	*
FUN_004990-T1	304	Not GPI-Anchored	-	0.986	*
FUN_005277-T1	771	Not GPI-Anchored	-	0.995	*
FUN_005382-T1	486	Not GPI-Anchored	-	0.994	*
FUN_005373-T1	520	Not GPI-Anchored	-	0.994	*
FUN_005322-T1	711	Not GPI-Anchored	-	0.992	*
FUN_005316-T1	219	GPI-Anchored	195	0.634	S
FUN_005301-T1	187	Not GPI-Anchored	-	0.981	*
FUN_005290-T1	548	Not GPI-Anchored	-	0.996	*
FUN_005240-T1	300	Not GPI-Anchored	-	0.995	*
FUN_005463-T1	177	GPI-Anchored	155	0.673	S
FUN_005200-T1	725	Not GPI-Anchored	-	0.993	*
FUN_005178-T1	417	GPI-Anchored	391	0.630	S
FUN_005164-T1	329	Not GPI-Anchored	-	0.955	*
FUN_005085-T1	164	Not GPI-Anchored	-	0.970	*
FUN_005043-T1	1563	Not GPI-Anchored	-	0.994	*
FUN_005034-T1	198	Not GPI-Anchored	-	0.973	*
FUN_005393-T1	798	Not GPI-Anchored	-	0.990	*
FUN_005490-T1	1328	Not GPI-Anchored	-	0.993	*
FUN_005658-T1	445	GPI-Anchored	419	0.490	N
FUN_005571-T1	208	Not GPI-Anchored	-	0.996	*
FUN_005643-T1	474	GPI-Anchored	450	0.667	S
FUN_005620-T1	306	Not GPI-Anchored	-	0.995	*
FUN_005619-T1	325	Not GPI-Anchored	-	0.995	*
FUN_005596-T1	421	Not GPI-Anchored	-	0.994	*
FUN_005592-T1	283	Not GPI-Anchored	-	0.988	*
FUN_005573-T1	575	Not GPI-Anchored	-	0.985	*
FUN_005570-T1	298	Not GPI-Anchored	-	0.995	*
FUN_005493-T1	423	Not GPI-Anchored	-	0.971	*
FUN_005569-T1	243	Not GPI-Anchored	-	0.987	*
FUN_005568-T1	321	Not GPI-Anchored	-	0.995	*
FUN_005547-T1	623	Not GPI-Anchored	-	0.985	*
FUN_005538-T1	486	Not GPI-Anchored	-	0.994	*
FUN_005537-T1	488	Not GPI-Anchored	-	0.994	*
FUN_005509-T1	357	GPI-Anchored	327	0.611	S
FUN_003145-T1	1066	Not GPI-Anchored	-	0.972	*
FUN_003108-T1	552	Not GPI-Anchored	-	0.996	*
FUN_000077-T1	629	Not GPI-Anchored	-	0.993	*
FUN_001178-T1	526	Not GPI-Anchored	-	0.994	*
FUN_001229-T1	300	Not GPI-Anchored	-	0.995	*
FUN_001228-T1	287	Not GPI-Anchored	-	0.993	*
FUN_001215-T1	271	Not GPI-Anchored	-	0.995	*
FUN_001213-T1	145	GPI-Anchored	112	0.497	S
FUN_001206-T1	563	Not GPI-Anchored	-	0.988	*
FUN_001192-T1	233	Not GPI-Anchored	-	0.937	*
FUN_001177-T1	537	Not GPI-Anchored	-	0.990	*
FUN_001322-T1	377	Not GPI-Anchored	-	0.995	*
FUN_001175-T1	611	Not GPI-Anchored	-	0.959	*
FUN_001138-T1	527	GPI-Anchored	499	0.764	S
FUN_001123-T1	221	GPI-Anchored	197	0.647	S
FUN_001114-T1	207	GPI-Anchored	182	0.704	S
FUN_001094-T1	466	Not GPI-Anchored	-	0.972	*
FUN_001041-T1	279	GPI-Anchored	250	0.545	S
FUN_001230-T1	272	Not GPI-Anchored	-	0.996	*
FUN_001354-T1	280	Not GPI-Anchored	-	0.993	*
FUN_000984-T1	257	GPI-Anchored	231	0.733	S
FUN_001643-T1	836	Not GPI-Anchored	-	0.993	*
FUN_001806-T1	260	GPI-Anchored	239	0.352	D
FUN_001791-T1	360	Not GPI-Anchored	-	0.993	*
FUN_001788-T1	328	Not GPI-Anchored	-	0.994	*
FUN_001770-T1	661	GPI-Anchored	631	0.450	S
FUN_001693-T1	599	Not GPI-Anchored	-	0.994	*
FUN_001692-T1	441	Not GPI-Anchored	-	0.989	*
FUN_001614-T1	1254	Not GPI-Anchored	-	0.986	*
FUN_001386-T1	180	GPI-Anchored	154	0.570	G
FUN_001578-T1	1036	Not GPI-Anchored	-	0.993	*
FUN_001467-T1	225	GPI-Anchored	191	0.226	S
FUN_001464-T1	2142	Not GPI-Anchored	-	0.995	*
FUN_001461-T1	648	Not GPI-Anchored	-	0.994	*
FUN_001416-T1	135	Not GPI-Anchored	-	0.989	*
FUN_001408-T1	942	Not GPI-Anchored	-	0.994	*
FUN_001009-T1	1422	Not GPI-Anchored	-	0.994	*
FUN_000951-T1	637	Not GPI-Anchored	-	0.989	*
FUN_003093-T1	423	Not GPI-Anchored	-	0.995	*
FUN_000309-T1	564	Not GPI-Anchored	-	0.993	*
FUN_000389-T1	185	Not GPI-Anchored	-	0.701	*
FUN_000364-T1	920	Not GPI-Anchored	-	0.989	*
FUN_000350-T1	498	GPI-Anchored	470	0.357	N
FUN_000348-T1	725	Not GPI-Anchored	-	0.994	*
FUN_000336-T1	977	Not GPI-Anchored	-	0.991	*
FUN_000330-T1	520	Not GPI-Anchored	-	0.992	*
FUN_000280-T1	347	Not GPI-Anchored	-	0.994	*
FUN_000425-T1	345	Not GPI-Anchored	-	0.988	*
FUN_000247-T1	445	Not GPI-Anchored	-	0.994	*
FUN_000212-T1	325	Not GPI-Anchored	-	0.994	*
FUN_000175-T1	680	Not GPI-Anchored	-	0.988	*
FUN_000147-T1	1007	Not GPI-Anchored	-	0.989	*
FUN_000120-T1	288	Not GPI-Anchored	-	0.992	*
FUN_000103-T1	246	Not GPI-Anchored	-	0.984	*
FUN_000401-T1	590	GPI-Anchored	566	0.634	S
FUN_000440-T1	325	Not GPI-Anchored	-	0.994	*
FUN_000885-T1	290	Not GPI-Anchored	-	0.994	*
FUN_000744-T1	191	Not GPI-Anchored	-	0.993	*
FUN_000853-T1	449	GPI-Anchored	424	0.382	S
FUN_000852-T1	246	Not GPI-Anchored	-	0.992	*
FUN_000821-T1	126	GPI-Anchored	96	0.308	S
FUN_000816-T1	1268	Not GPI-Anchored	-	0.994	*
FUN_000815-T1	491	Not GPI-Anchored	-	0.995	*
FUN_000785-T1	299	Not GPI-Anchored	-	0.993	*
FUN_000742-T1	1105	Not GPI-Anchored	-	0.987	*
FUN_000565-T1	522	Not GPI-Anchored	-	0.987	*
FUN_000727-T1	1048	Not GPI-Anchored	-	0.980	*
FUN_000691-T1	326	Not GPI-Anchored	-	0.880	*
FUN_000690-T1	496	Not GPI-Anchored	-	0.965	*
FUN_000660-T1	331	Not GPI-Anchored	-	0.994	*
FUN_000583-T1	337	Not GPI-Anchored	-	0.983	*
FUN_000581-T1	187	Not GPI-Anchored	-	0.993	*
FUN_001809-T1	552	Not GPI-Anchored	-	0.995	*
FUN_001825-T1	396	Not GPI-Anchored	-	0.993	*
FUN_001846-T1	126	Not GPI-Anchored	-	0.993	*
FUN_002619-T1	585	Not GPI-Anchored	-	0.994	*
FUN_002717-T1	617	Not GPI-Anchored	-	0.994	*
FUN_002708-T1	165	GPI-Anchored	132	0.399	S
FUN_002695-T1	247	Not GPI-Anchored	-	0.994	*
FUN_002687-T1	828	Not GPI-Anchored	-	0.994	*
FUN_002657-T1	288	Not GPI-Anchored	-	0.876	*
FUN_002622-T1	334	GPI-Anchored	308	0.374	S
FUN_002610-T1	473	Not GPI-Anchored	-	0.995	*
FUN_001852-T1	486	Not GPI-Anchored	-	0.995	*
FUN_002595-T1	553	Not GPI-Anchored	-	0.993	*
FUN_002583-T1	497	Not GPI-Anchored	-	0.982	*
FUN_002533-T1	374	Not GPI-Anchored	-	0.994	*
FUN_002531-T1	363	Not GPI-Anchored	-	0.995	*
FUN_002494-T1	374	GPI-Anchored	351	0.601	S
FUN_002484-T1	474	Not GPI-Anchored	-	0.988	*
FUN_002746-T1	464	Not GPI-Anchored	-	0.995	*
FUN_002756-T1	184	GPI-Anchored	161	0.410	S
FUN_002787-T1	846	Not GPI-Anchored	-	0.994	*
FUN_002813-T1	200	Not GPI-Anchored	-	0.986	*
FUN_002817-T1	308	Not GPI-Anchored	-	0.974	*
FUN_002821-T1	372	Not GPI-Anchored	-	0.995	*
FUN_002825-T1	376	Not GPI-Anchored	-	0.989	*
FUN_002845-T1	1417	Not GPI-Anchored	-	0.991	*
FUN_002853-T1	709	Not GPI-Anchored	-	0.993	*
FUN_002859-T1	196	Not GPI-Anchored	-	0.990	*
FUN_002875-T1	1079	Not GPI-Anchored	-	0.993	*
FUN_002917-T1	915	Not GPI-Anchored	-	0.995	*
FUN_002952-T1	422	Not GPI-Anchored	-	0.995	*
FUN_002978-T1	364	Not GPI-Anchored	-	0.366	*
FUN_002998-T1	227	Not GPI-Anchored	-	0.995	*
FUN_003015-T1	399	Not GPI-Anchored	-	0.995	*
FUN_003066-T1	280	Not GPI-Anchored	-	0.993	*
FUN_002418-T1	633	Not GPI-Anchored	-	0.991	*
FUN_002405-T1	183	Not GPI-Anchored	-	0.993	*
FUN_002397-T1	318	Not GPI-Anchored	-	0.985	*
FUN_002078-T1	1089	Not GPI-Anchored	-	0.992	*
FUN_002200-T1	1619	Not GPI-Anchored	-	0.989	*
FUN_002178-T1	308	Not GPI-Anchored	-	0.988	*
FUN_002161-T1	559	Not GPI-Anchored	-	0.994	*
FUN_002138-T1	539	Not GPI-Anchored	-	0.994	*
FUN_002107-T1	606	Not GPI-Anchored	-	0.992	*
FUN_002080-T1	357	Not GPI-Anchored	-	0.993	*
FUN_002075-T1	453	Not GPI-Anchored	-	0.954	*
FUN_002387-T1	122	Not GPI-Anchored	-	0.977	*
FUN_002056-T1	145	Not GPI-Anchored	-	0.992	*
FUN_002050-T1	337	Not GPI-Anchored	-	0.989	*
FUN_001979-T1	588	Not GPI-Anchored	-	0.993	*
FUN_001956-T1	175	Not GPI-Anchored	-	0.993	*
FUN_001897-T1	486	GPI-Anchored	453	0.386	N
FUN_001887-T1	629	Not GPI-Anchored	-	0.984	*
FUN_002211-T1	476	GPI-Anchored	451	0.410	S
FUN_002228-T1	326	Not GPI-Anchored	-	0.993	*
FUN_002276-T1	874	Not GPI-Anchored	-	0.991	*
FUN_002279-T1	211	Not GPI-Anchored	-	0.993	*
FUN_002386-T1	1492	Not GPI-Anchored	-	0.776	*
FUN_002380-T1	635	GPI-Anchored	611	0.536	S
FUN_002377-T1	514	Not GPI-Anchored	-	0.992	*
FUN_002367-T1	158	Not GPI-Anchored	-	0.993	*
FUN_002365-T1	299	Not GPI-Anchored	-	0.993	*
FUN_002339-T1	382	Not GPI-Anchored	-	0.994	*
FUN_002338-T1	816	Not GPI-Anchored	-	0.992	*
FUN_002334-T1	560	Not GPI-Anchored	-	0.990	*
FUN_002321-T1	398	Not GPI-Anchored	-	0.996	*
FUN_002314-T1	387	Not GPI-Anchored	-	0.986	*
FUN_002293-T1	304	Not GPI-Anchored	-	0.991	*
FUN_002291-T1	393	Not GPI-Anchored	-	0.991	*
FUN_002286-T1	377	Not GPI-Anchored	-	0.995	*
FUN_006544-T1	265	Not GPI-Anchored	-	0.995	*
FUN_002797-T1	90	Not GPI-Anchored	-	0.690	*
FUN_000716-T1	47	Not GPI-Anchored	-	0.989	*
