t0	JL257_ITS1f
t25	KP020113.1_Ruinenia_lunata_18S_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_complete_sequence_and_28S_ribosomal_RNA_genee
t26	MK050375.1_Sterigmatospora_layueensis_strain_XZ100A2B_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_come
t27	MK050374.1_Pseudosterigmatospora_motuoensis_strain_XZ119B3_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_space...
t28	MK050376.1_Phyllozyma_jiayinensis_strain_CGMCC2.5669_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_compe
t29	MK050378.1_Phyllozyma_aceris_strain_CGMCC2.2617_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_complete_e
t30	MK050379.1_Meniscomyces_layueensis_strain_XZ100_18S_small_subunit_ribosomal_RNA_gene_partial_sequence_internal_transcribed_spacer_1_5.8S_ribosomal_RNA_gene_and_internal_transcribed_spacer_2_complete_e
t31	ref|NR_073274.1|__organism_Colacogloea_philyla_strain_CBS_6272_culture_collection_CBS:6272_note_ex-type_culture_of_Torulopsis_philyla_type_material_culture_from_type_material_of_Colacogloea_philyla_g.
t32	ref|NR_073275.1|__organism_Yunzhangia_auriculariae_strain_CBS_6379_culture_collection_CBS:6379_note_ex-type_culture_of_Torulopsis_auriculariae_type_material_culture_from_type_material_of_Yunzhangia_a.
t33	ref|NR_073276.1|__organism_Leucosporidium_fellii_strain_CBS_7287_culture_collection_CBS:7287_note_ex-type_culture_of_Leucosporidium_fellii_type_material_culture_from_type_material_of_Leucosporidium_f.
t34	ref|NR_073277.1|__organism_Rhodotorula_araucariae_strain_CBS_6031_culture_collection_CBS:6031_note_ex-type_culture_of_Rhodotorula_araucariae_type_material_culture_from_type_material_of_Rhodotorula_ar.
t35	ref|NR_073282.1|__organism_Rhodotorula_kratochvilovae_strain_CBS_7436_culture_collection_CBS:7436_note_ex-type_culture_of_Rhodosporidium_kratochvilovae_type_material_culture_from_type_material_of_Rho.
t36	ref|NR_073286.1|__organism_Leucosporidium_muscorum_strain_CBS_6921_culture_collection_CBS:6921_note_ex-type_culture_of_Candida_muscorum_type_material_culture_from_type_material_of_Candida_muscorum_gc.
t37	ref|NR_073287.1|__organism_Leucosporidium_fragarium_strain_CBS_6254_culture_collection_CBS:6254_note_ex-type_culture_of_Torulopsis_fragaria_type_material_culture_from_type_material_of_Leucosporidium_.
t38	ref|NR_073288.1|__organism_Pseudohyphozyma_pustula_strain_CBS_6527_culture_collection_CBS:6527_note_ex-type_culture_of_Torulopsis_pustula_type_material_culture_from_type_material_of_Pseudohyphozyma_p.
t39	ref|NR_073289.1|__organism_Colacogloea_diffluens_strain_CBS_5233_culture_collection_CBS:5233_note_ex-type_culture_of_Candida_diffluens_type_material_type_material_of_Colacogloea_diffluens_gcode_1_ide.
t40	ref|NR_073290.1|__organism_Rhodosporidiobolus_microsporus_strain_CBS_7041_culture_collection_CBS:7041_note_ex-type_culture_of_Sporidiobolus_microsporus_type_material_culture_from_type_material_of_Rho.
t41	ref|NR_073291.1|__organism_Pseudohyphozyma_bogoriensis_strain_CBS_4101_culture_collection_CBS:4101_note_ex-type_culture_of_Candida_bogoriensis_type_material_culture_from_type_material_of_Pseudohyphoz.
t42	ref|NR_073292.1|__organism_Rhodotorula_nothofagi_strain_CBS_8166_culture_collection_CBS:8166_note_ex-type_culture_of_Rhodotorula_nothofagi_type_material_culture_from_type_material_of_Rhodotorula_noth.
t43	ref|NR_073294.1|__organism_Rhodotorula_glutinis_strain_CBS_20_culture_collection_CBS:20_note_ex-type_culture_of_Rhodotorula_glutinis_type_material_culture_from_type_material_of_Rhodotorula_glutinis_g.
t44	ref|NR_073296.1|__organism_Rhodotorula_mucilaginosa_strain_CBS_316_culture_collection_CBS:316_note_ex-type_culture_of_Torula_mucilaginosa_gcode_1_identified_by_J.W._Fell__A._Statzell-Tallman_Rhodotor.
t45	ref|NR_073297.1|__organism_Colacogloea_falcata_strain_CBS_7368_culture_collection_CBS:7368_note_ex-type_culture_of_Sporobolomyces_falcatus_type_material_culture_from_type_material_of_Colacogloea_falc.
t46	ref|NR_073303.1|__organism_Chrysozyma_griseoflava_strain_CBS_7284_culture_collection_CBS:7284_note_ex-type_culture_of_Sporobolomyces_griseoflavus_type_material_culture_from_type_material_of_Chrysozym.
t47	ref|NR_073305.1|__organism_Fellozyma_inositophila_strain_CBS_7310_culture_collection_CBS:7310_note_ex-type_culture_of_Sporobolomyces_inositophilus_type_material_culture_from_type_material_of_Fellozym.
t48	ref|NR_073309.1|__organism_Leucosporidium_intermedium_strain_CBS_7226_culture_collection_CBS:7226_note_ex-type_culture_of_Mastigobasidium_intermedium_type_material_culture_from_type_material_of_Leuco.
t49	ref|NR_073313.1|__organism_Slooffia_cresolica_strain_CBS_7998_culture_collection_CBS:7998_note_ex-type_culture_of_Rhodotorula_cresolica_type_material_culture_from_type_material_of_Slooffia_cresolica_.
t50	ref|NR_073315.1|__organism_Sampaiozyma_vanillica_strain_CBS_7404_culture_collection_CBS:7404_note_ex-type_culture_of_Rhodotorula_vanillica_type_material_culture_from_type_material_of_Sampaiozyma_vani.
t51	ref|NR_073324.1|__organism_Slooffia_pilatii_strain_CBS_7039_culture_collection_CBS:7039_note_ex-type_culture_of_Torulopsis_pilati_type_material_culture_from_type_material_of_Torulopsis_pilatii_gcod...
t52	ref|NR_073328.1|__organism_Oberwinklerozyma_yarrowii_strain_CBS_7417_culture_collection_CBS:7417_note_ex-type_culture_of_Cryptococcus_yarrowii_type_material_culture_from_type_material_of_Oberwinklero.
t53	ref|NR_073329.1|__organism_Leucosporidium_creatinivorum_strain_CBS_8620_culture_collection_CBS:8620_note_ex-type_culture_of_Rhodotorula_creatinovora_type_material_culture_from_type_material_of_Leucos.
t54	ref|NR_073330.1|__organism_Udeniozyma_ferulica_strain_CBS_7416_culture_collection_CBS:7416_note_ex-type_culture_of_Rhodotorula_ferulica_type_material_culture_from_type_material_of_Udeniozyma_feruli...
t55	ref|NR_073331.1|__organism_Colacogloea_foliorum_strain_CBS_5234_culture_collection_CBS:5234_note_ex-type_culture_of_Candida_foliorum_type_material_culture_from_type_material_of_Colacogloea_foliorum_g.
t56	ref|NR_077089.1|__organism_Rhodosporidiobolus_fluvialis_strain_CBS_6568_culture_collection_CBS:6568_note_ex-type_culture_of_Rhodosporidium_fluviale_type_material_culture_from_type_material_of_Rhodosp.
t57	ref|NR_077090.1|__organism_Sporobolomyces_johnsonii_strain_CBS_5470_culture_collection_CBS:5470_note_ex-type_culture_of_Sporidiobolus_johnsonii_type_material_culture_from_type_material_of_Sporobolomy.
t58	ref|NR_077091.1|__organism_Rhodosporidiobolus_lusitaniae_strain_CBS_7604_culture_collection_CBS:7604_note_ex-type_culture_of_Rhodosporidium_lusitaniae_type_material_culture_from_type_material_of_Rhod.
t59	ref|NR_077096.1|__organism_Rhodotorula_babjevae_strain_CBS_7808_culture_collection_CBS:7808_note_ex-type_culture_of_Rhodosporidium_babjevae_type_material_culture_from_type_material_of_Rhodotorula_bab.
t60	ref|NR_111077.1|__organism_Curvibasidium_cygneicollum_strain_CBS_4551_culture_collection_CBS:4551_note_ex-type_culture_of_Torulopsis_fujisanensis_gb_synonym_Rhodotorula_fujisanensis_type_material_typ.
t61	ref|NR_111078.1|__organism_Hamamotoa_lignophila_strain_CBS_7109_culture_collection_CBS:7109_note_ex-type_culture_of_Candida_lignophila_type_material_type_material_of_Hamamotoa_lignophila_gcode_1_Hama.
t62	ref|NR_111080.1|__organism_Sampaiozyma_ingeniosa_strain_CBS_4240_culture_collection_CBS:4240_note_ex-type_culture_of_Torulopsis_ingeniosa_type_material_type_material_of_Sampaiozyma_ingeniosa_gcode_1_.
t63	ref|NR_111685.1|__organism_Colacogloea_eucalyptica_strain_ATCC_MYA-4815_culture_collection_ATCC:MYA-4815_note_ex-type_culture_of_Rhodotorula_eucalyptica_type_material_culture_from_type_material_of_Co.
t64	ref|NR_119455.1|__organism_Kriegeria_eriophori_strain_CBS_8387_anamorph_Zymoxenogloea_eriophori_culture_collection_CBS:8387_note_ex-type_culture_of_Zymoxenogloea_eriophori_type_material_culture_from_.
t65	ref|NR_120214.1|__organism_Meredithblackwellia_eburnea_isolate_MCA4105_culture_collection_CBS:12589_culture_collection_NRRL:YEAST:Y-48821_note_ex-holotype_culture_of_Meredithblackwellia_eburnea_type_.
t66	ref|NR_132821.1|__organism_Glaciozyma_martinii_strain_CBS_10620_culture_collection_CBS:10620_note_ex-type_culture_of_Glaciozyma_martinii_type_material_culture_from_type_material_of_Glaciozyma_marti...
t67	ref|NR_136963.1|__organism_Leucosporidium_golubevii_strain_PYCC_5759_culture_collection_PYCC:5759_note_ex-holotype_culture_of_Leucosporidium_golubevii_type_material_culture_from_holotype_of_Leucospor.
t68	ref|NR_137036.1|__organism_Leucosporidium_drummii_strain_CBS_11562_isolate_AY220_culture_collection_CBS:11562_note_ex-holotype_culture_of_Leucosporidium_drummii_type_material_culture_from_holotype_of.
t69	ref|NR_137663.1|__organism_Sporobolomyces_beijingensis_strain_AS_2.2365_isolate_CB_80_culture_collection_CGMCC:2.2365_note_ex-holotype_culture_of_Sporobolomyces_beijingensis_type_material_culture_fro.
t70	ref|NR_137664.1|__organism_Sporobolomyces_jilinensis_strain_AS_2.2301_isolate_CB_118_culture_collection_CGMCC:2.2301_note_ex-holotype_culture_of_Sporobolomyces_jilinensis_type_material_culture_from_h.
t71	ref|NR_137680.1|__organism_Colacogloea_subericola_strain_CECT_11976_culture_collection_CECT:11976_type_material_holotype_of_Rhodotorula_subericola_note_ex-holotype_culture_of_Rhodotorula_subericola_g.
t72	ref|NR_137686.1|__organism_Sporidiobolus_metaroseus_strain_CBS_7683_culture_collection_CBS:7683_note_ex-holotype_culture_of_Sporidiobolus_metaroseus_type_material_culture_from_holotype_of_Sporidiobol.
t73	ref|NR_147641.1|__organism_Leucosporidium_krtinense_isolate_KT96_culture_collection_PYCC:6879_note_ex-holotype_culture_of_Leucosporidium_krtinense_type_material_culture_from_holotype_of_Leucosporidiu.
t74	ref|NR_147642.1|__organism_Yurkovia_mendeliana_isolate_KT152_culture_collection_PYCC:6884_type_material_culture_from_holotype_of_Yurkovia_mendeliana_type_material_holotype_of_Yurkovia_mendeliana_note.
t75	ref|NR_147643.1|__organism_Libkindia_masarykiana_isolate_KT310_culture_collection_PYCC:6886_type_material_culture_from_holotype_of_Libkindia_masarykiana_type_material_holotype_of_Libkindia_masaryki...
t76	ref|NR_149325.1|__organism_Sporidiobolus_salmonicolor_strain_CBS_490_culture_collection_CBS:490_note_culture_from_type_material_of_Sporidiobolus_salmonicolor_type_material_type_material_of_Sporidiobo.
t77	ref|NR_153298.1|__organism_Rhodotorula_ngohengohe_strain_ICMP_22106_specimen_voucher_PDD:105305_culture_collection_ICMP:22106_type_material_holotype_of_Rhodotorula_ngohengohe_type_material_culture_fr.
t78	ref|NR_153630.1|__organism_Bannozyma_arctica_culture_collection_CBS:9278_type_material_type_material_of_Bannozyma_arctica_gcode_1_country_Russia_isolation_source_soil_Bannozyma_arctica_CBS_9278_ITS_r.
t79	ref|NR_154289.1|__organism_Phenoliferia_psychrophenolica_strain_CBS_10438_isolate_AG21_culture_collection_CBS:10438_type_material_type_material_of_Phenoliferia_psychrophenolica_gcode_1_Phenoliferia_p.
t80	ref|NR_154358.1|__organism_Phenoliferia_glacialis_culture_collection_CBS:10436_type_material_type_material_of_Phenoliferia_glacialis_gcode_1_country_Austria_isolation_source_soil_Phenoliferia_glacial.
t81	ref|NR_154359.1|__organism_Phenoliferia_psychrophila_culture_collection_CBS:10440_type_material_type_material_of_Phenoliferia_psychrophila_gcode_1_isolation_source_soil_Phenoliferia_psychrophila_CBS_.
t82	ref|NR_154537.1|__organism_Yamadamyces_rosulatus_culture_collection_CBS:10977_type_material_type_material_of_Yamadamyces_rosulatus_gcode_1_country_Russia_isolation_source_plant_Yamadamyces_rosulatus_.
t83	ref|NR_154743.1|__organism_Rhodotorula_futronensis_strain_JCM_9029_culture_collection_JCM:9029_type_material_type_material_of_Rhodotorula_futronensis_gcode_1_Rhodotorula_futronensis_JCM_9029_ITS_regi.
t84	ref|NR_155110.1|__organism_Glaciozyma_litoralis_isolate_K94b_culture_collection_PYCC:6252T_culture_collection_VKPM:Y3850T_type_material_type_material_of_Glaciozyma_litoralis_gcode_1_country_Russia:Wh.
t85	ref|NR_155310.1|__organism_Leucosporidium_escuderoi_isolate_131209-E2A-C3-II-lev_nat_host_marine_sponge_culture_collection_CBS:12734_type_material_type_material_of_Leucosporidium_escuderoi_gcode_1_co.
t86	ref|NR_155332.1|__organism_Leucosporidium_yakuticum_culture_collection_CBS:8621_type_material_type_material_of_Rhodotorula_yakutica_gcode_1_country_Russia_isolation_source_soil_Leucosporidium_yakutic.
t87	ref|NR_155333.1|__organism_Pseudoleucosporidium_fasciculatum_culture_collection_CBS:8786_type_material_type_material_of_Leucosporidium_fasciculatum_gcode_1_country_Russia_isolation_source_fungus_Pseu.
t88	ref|NR_155583.1|__organism_Oberwinklerozyma_straminea_culture_collection_CBS:10976_type_material_type_material_of_Oberwinklerozyma_straminea_gcode_1_country_Russia_isolation_source_plant_Oberwinklero.
t89	ref|NR_155684.1|__organism_Pseudohyphozyma_buffonii_culture_collection_CBS:7150_type_material_type_material_of_Pseudohyphozyma_buffonii_gcode_1_country_France_isolation_source_fungus_Pseudohyphozyma_.
t90	ref|NR_155730.1|__organism_Rhodosporidiobolus_colostri_nat_host_Homo_sapiens_culture_collection_CBS:348_type_material_type_material_of_Rhodosporidiobolus_colostri_gcode_1_Rhodosporidiobolus_colostri_.
t91	ref|NR_155770.1|__organism_Sporidiobolus_pararoseus_strain_CBS_491_culture_collection_CBS:491_type_material_type_material_of_Sporidiobolus_pararoseus_gcode_1_Sporidiobolus_pararoseus_CBS_491_ITS_regi.
t92	ref|NR_155845.1|__organism_Sporobolomyces_roseus_culture_collection_CBS:486_type_material_type_material_of_Sporobolomyces_roseus_gcode_1_Sporobolomyces_roseus_CBS_486_ITS_region_from_TYPE_material.
t93	ref|NR_160331.1|__organism_Heitmania_elacocarpi_isolate_GT-160_culture_collection_CBS:14752_type_material_type_material_of_Heitmania_elacocarpi_gcode_1_isolation_source_leaf_Heitmania_elacocarpi_CBS_.
t94	ref|NR_160332.1|__organism_Heitmania_litseae_isolate_GT-187_culture_collection_CBS:14756_type_material_type_material_of_Heitmania_litseae_gcode_1_isolation_source_leaf_Heitmania_litseae_CBS_14756_ITS.
t95	ref|NR_160333.1|__organism_Heitmania_castanopsis_isolate_GT-233_culture_collection_CBS:14750_type_material_type_material_of_Heitmania_castanopsis_gcode_1_isolation_source_leaf_Heitmania_castanopsis_C.
t96	ref|NR_167940.1|__organism_Bannozyma_yamatoana_strain_JCM_2896_culture_collection_JCM:2896_type_material_type_material_of_Bannozyma_yamatoana_gcode_1_Bannozyma_yamatoana_JCM_2896_ITS_region_from_TYPE.
t97	ref|NR_170718.1|__organism_Camptobasidium_gelus_strain_CBS_8941_type_material_holotype_of_Camptobasidium_gelus_gcode_1_Camptobasidium_gelus__ITS_region_from_TYPE_material.
t98	ref|NR_173419.1|__organism_Hamamotoa_telluris_isolate_HEW-1-23_culture_collection_DSM:102968_type_material_holotype_of_Hamamotoa_telluris_gcode_1_country_Germany:_National_park_Hainich_isolation_sour.
t99	ref|NR_173420.1|__organism_Hamamotoa_cerberi_isolate_HEW-1-21_culture_collection_DSM:102961_type_material_holotype_of_Hamamotoa_cerberi_gcode_1_country_Germany:_National_park_Hainich_isolation_source.
t100	ref|NR_173424.1|__organism_Yurkovia_nerthusi_isolate_HEW-2-3_culture_collection_CBS:11597_culture_collection_DSM:26788_culture_collection_MUCL:53962_type_material_holotype_of_Yurkovia_nerthusi_gcod...
t101	ref|NR_174037.1|__organism_Rosettozyma_petaloides_strain_CGMCC2.3446_culture_collection_CGMCC:2.3446_type_material_holotype_of_Rosettozyma_petaloides_gcode_1_Rosettozyma_petaloides_CGMCC_2.3446_ITS_r.
t102	ref|NR_174038.1|__organism_Rosettozyma_cystopteridis_strain_CGMCC2.2615_culture_collection_CGMCC:2.2615_type_material_holotype_of_Rosettozyma_cystopteridis_gcode_1_Rosettozyma_cystopteridis_CGMCC_2.2.
t103	ref|NR_174782.1|__organism_Rhodosporidiobolus_platycladi_strain_CGMCC2.3118_culture_collection_CGMCC:2.3118_type_material_holotype_of_Rhodosporidiobolus_platycladi_gcode_1_Rhodosporidiobolus_platycla.
t104	ref|NR_174783.1|__organism_Rhodosporidiobolus_jianfalingensis_strain_CGMCC2.3532_culture_collection_CGMCC:2.3532_type_material_holotype_of_Rhodosporidiobolus_jianfalingensis_gcode_1_Rhodosporidiobolu.
t105	ref|NR_174784.1|__organism_Rhodosporidiobolus_fuzhouensis_strain_CGMCC2.4435_culture_collection_CGMCC:2.4435_type_material_holotype_of_Rhodosporidiobolus_fuzhouensis_gcode_1_Rhodosporidiobolus_fuzhou.
t106	ref|NR_174785.1|__organism_Sporobolomyces_cellobiolyticus_strain_CGMCC2.5675_culture_collection_CGMCC:2.5675_type_material_holotype_of_Sporobolomyces_cellobiolyticus_gcode_1_Sporobolomyces_cellobioly.
t107	ref|NR_174786.1|__organism_Sporobolomyces_reniformis_strain_CGMCC2.5627_culture_collection_CGMCC:2.5627_type_material_holotype_of_Sporobolomyces_reniformis_gcode_1_Sporobolomyces_reniformis_CGMCC_2.5.
t108	ref|NR_174787.1|__organism_Sporobolomyces_ellipsoideus_strain_CGMCC2.5619_culture_collection_CGMCC:2.5619_type_material_holotype_of_Sporobolomyces_ellipsoideus_gcode_1_Sporobolomyces_ellipsoideus_CGM.
t109	ref|NR_174788.1|__organism_Heitmania_tridentata_strain_CGMCC2.5602_culture_collection_CGMCC:2.5602_type_material_holotype_of_Heitmania_tridentata_gcode_1_Heitmania_tridentata_CGMCC_2.5602_ITS_region_.
t110	ref|NR_174789.1|__organism_Heitmania_cylindrica_strain_CGMCC2.5650_culture_collection_CGMCC:2.5650_type_material_holotype_of_Heitmania_cylindrica_gcode_1_Heitmania_cylindrica_CGMCC_2.5650_ITS_region_.
t111	ref|NR_174790.1|__organism_Microbotryozyma_swertiae_strain_CGMCC2.3533_culture_collection_CGMCC:2.3533_type_material_holotype_of_Microbotryozyma_swertiae_gcode_1_Microbotryozyma_swertiae_CGMCC_2.3533.
t112	ref|NR_174791.1|__organism_Oberwinklerozyma_dicranopteridis_strain_CGMCC2.3441_culture_collection_CGMCC:2.3441_type_material_holotype_of_Oberwinklerozyma_dicranopteridis_gcode_1_Oberwinklerozyma_dicr.
t113	ref|NR_174792.1|__organism_Chrysozyma_pseudogriseoflava_strain_CGMCC2.5629_culture_collection_CGMCC:2.5629_type_material_holotype_of_Chrysozyma_pseudogriseoflava_gcode_1_Chrysozyma_pseudogriseoflava_.
t114	ref|NR_174793.1|__organism_Chrysozyma_sambuci_strain_CGMCC2.2618_culture_collection_CGMCC:2.2618_type_material_holotype_of_Chrysozyma_sambuci_gcode_1_Chrysozyma_sambuci_CGMCC_2.2618_ITS_region_from_T.
t115	ref|NR_174794.1|__organism_Chrysozyma_iridis_strain_CGMCC2.2769_culture_collection_CGMCC:2.2769_type_material_holotype_of_Chrysozyma_iridis_gcode_1_Chrysozyma_iridis_CGMCC_2.2769_ITS_region_from_TYPE.
t116	ref|NR_174795.1|__organism_Chrysozyma_sorbariae_strain_CGMCC2.2768_culture_collection_CGMCC:2.2768_type_material_holotype_of_Chrysozyma_sorbariae_gcode_1_Chrysozyma_sorbariae_CGMCC_2.2768_ITS_region_.
t117	ref|NR_174796.1|__organism_Chrysozyma_fusiformis_strain_CGMCC2.2765_culture_collection_CGMCC:2.2765_type_material_holotype_of_Chrysozyma_fusiformis_gcode_1_Chrysozyma_fusiformis_CGMCC_2.2765_ITS_regi.
t118	ref|NR_174797.1|__organism_Chrysozyma_cylindrica_strain_CGMCC2.3455_culture_collection_CGMCC:2.3455_type_material_holotype_of_Chrysozyma_cylindrica_gcode_1_Chrysozyma_cylindrica_CGMCC_2.3455_ITS_regi.
t119	ref|NR_174798.1|__organism_Chrysozyma_flava_strain_CGMCC2.5611_culture_collection_CGMCC:2.5611_type_material_holotype_of_Chrysozyma_flava_gcode_1_Chrysozyma_flava_CGMCC_2.5611_ITS_region_from_TYPE_ma.
t120	ref|NR_174799.1|__organism_Yurkovia_longicylindrica_strain_CGMCC2.5603_culture_collection_CGMCC:2.5603_type_material_holotype_of_Yurkovia_longicylindrica_gcode_1_Yurkovia_longicylindrica_CGMCC_2.5603.
t121	ref|NR_174800.1|__organism_Pseudohyphozyma_lulangensis_strain_CGMCC2.2612_culture_collection_CGMCC:2.2612_type_material_holotype_of_Pseudohyphozyma_lulangensis_gcode_1_Pseudohyphozyma_lulangensis_CGM.
t122	ref|NR_174801.1|__organism_Pseudohyphozyma_hydrangeae_strain_CGMCC2.2796_culture_collection_CGMCC:2.2796_type_material_holotype_of_Pseudohyphozyma_hydrangeae_gcode_1_Pseudohyphozyma_hydrangeae_CGMCC_.
t123	ref|NR_174802.1|__organism_Colacogloea_aletridis_strain_CGMCC2.2766_culture_collection_CGMCC:2.2766_type_material_holotype_of_Colacogloea_aletridis_gcode_1_Colacogloea_aletridis_CGMCC_2.2766_ITS_regi.
t124	ref|NR_174803.1|__organism_Colacogloea_hydrangeae_strain_CGMCC2.2798_culture_collection_CGMCC:2.2798_type_material_holotype_of_Colacogloea_hydrangeae_gcode_1_Colacogloea_hydrangeae_CGMCC_2.2798_ITS_r.
t125	ref|NR_174804.1|__organism_Colacogloea_rhododendri_strain_CGMCC2.2770_culture_collection_CGMCC:2.2770_type_material_holotype_of_Colacogloea_rhododendri_gcode_1_Colacogloea_rhododendri_CGMCC_2.2770_IT.
