# Identifier	Cytoplasmic effector	Apoplastic effector	Non-effector	Prediction
FUN_004541-T1 FUN_004541	-	Y (0.651)	-	Apoplastic effector
FUN_004545-T1 FUN_004545	-	-	Y (0.737)	Non-effector
FUN_004558-T1 FUN_004558	-	-	Y (0.749)	Non-effector
FUN_004564-T1 FUN_004564	-	-	Y (0.901)	Non-effector
FUN_004566-T1 FUN_004566	-	-	Y (0.682)	Non-effector
FUN_004567-T1 FUN_004567	-	-	Y (0.62)	Non-effector
FUN_004568-T1 FUN_004568	-	Y (0.669)	-	Apoplastic effector
FUN_004591-T1 FUN_004591	Y (0.765)	-	-	Cytoplasmic effector
FUN_004622-T1 FUN_004622	-	-	Y (0.754)	Non-effector
FUN_004631-T1 FUN_004631	Y (0.647)	-	-	Cytoplasmic effector
FUN_004636-T1 FUN_004636	-	-	Y (0.604)	Non-effector
FUN_004699-T1 FUN_004699	-	-	Y (0.778)	Non-effector
FUN_004700-T1 FUN_004700	-	-	Y (0.65)	Non-effector
FUN_004724-T1 FUN_004724	-	-	Y (0.53)	Non-effector
FUN_004726-T1 FUN_004726	-	-	Y (0.797)	Non-effector
FUN_004744-T1 FUN_004744	Y (0.651)	-	-	Cytoplasmic effector
FUN_004749-T1 FUN_004749	Y (0.725)	-	-	Cytoplasmic effector
FUN_004791-T1 FUN_004791	-	-	Y (0.894)	Non-effector
FUN_004797-T1 FUN_004797	-	-	Y (0.864)	Non-effector
FUN_004802-T1 FUN_004802	-	-	Y (0.902)	Non-effector
FUN_004803-T1 FUN_004803	-	-	Y (0.963)	Non-effector
FUN_004899-T1 FUN_004899	-	-	Y (0.972)	Non-effector
FUN_004930-T1 FUN_004930	Y (0.633)	-	-	Cytoplasmic effector
FUN_004963-T1 FUN_004963	-	-	Y (0.602)	Non-effector
FUN_004990-T1 FUN_004990	-	Y (0.587)	-	Apoplastic effector
FUN_005034-T1 FUN_005034	Y (0.841)	-	-	Cytoplasmic effector
FUN_005043-T1 FUN_005043	-	-	Y (0.857)	Non-effector
FUN_005085-T1 FUN_005085	-	-	Y (0.865)	Non-effector
FUN_005164-T1 FUN_005164	-	-	Y (0.937)	Non-effector
FUN_005178-T1 FUN_005178	-	-	Y (0.731)	Non-effector
FUN_005200-T1 FUN_005200	-	-	Y (0.786)	Non-effector
FUN_005240-T1 FUN_005240	-	-	Y (0.865)	Non-effector
FUN_005277-T1 FUN_005277	-	-	Y (0.794)	Non-effector
FUN_005290-T1 FUN_005290	-	-	Y (0.627)	Non-effector
FUN_005301-T1 FUN_005301	-	-	Y (0.611)	Non-effector
FUN_005316-T1 FUN_005316	-	-	Y (0.862)	Non-effector
FUN_005322-T1 FUN_005322	-	-	Y (0.922)	Non-effector
FUN_005373-T1 FUN_005373	-	Y (0.562)	-	Apoplastic effector
FUN_005382-T1 FUN_005382	-	-	Y (0.512)	Non-effector
FUN_005393-T1 FUN_005393	-	-	Y (0.832)	Non-effector
FUN_005463-T1 FUN_005463	-	-	Y (0.83)	Non-effector
FUN_005490-T1 FUN_005490	-	-	Y (0.899)	Non-effector
FUN_005493-T1 FUN_005493	-	-	Y (0.647)	Non-effector
FUN_005509-T1 FUN_005509	-	Y (0.558)	-	Apoplastic effector
FUN_005537-T1 FUN_005537	-	-	Y (0.705)	Non-effector
FUN_005538-T1 FUN_005538	-	-	Y (0.736)	Non-effector
FUN_005547-T1 FUN_005547	-	-	Y (0.777)	Non-effector
FUN_005568-T1 FUN_005568	-	-	Y (0.532)	Non-effector
FUN_005569-T1 FUN_005569	-	-	Y (0.552)	Non-effector
FUN_005570-T1 FUN_005570	-	-	Y (0.543)	Non-effector
FUN_005571-T1 FUN_005571	Y (0.801)	-	-	Cytoplasmic effector
FUN_005573-T1 FUN_005573	-	-	Y (0.988)	Non-effector
FUN_005592-T1 FUN_005592	-	-	Y (0.556)	Non-effector
FUN_005596-T1 FUN_005596	-	-	Y (0.794)	Non-effector
FUN_005619-T1 FUN_005619	-	-	Y (0.543)	Non-effector
FUN_005620-T1 FUN_005620	Y (0.555)	-	-	Cytoplasmic effector
FUN_005643-T1 FUN_005643	-	Y (0.513)	-	Apoplastic effector
FUN_005658-T1 FUN_005658	-	-	Y (0.616)	Non-effector
FUN_005674-T1 FUN_005674	-	-	Y (0.611)	Non-effector
FUN_005701-T1 FUN_005701	-	-	Y (0.818)	Non-effector
FUN_005783-T1 FUN_005783	-	-	Y (0.696)	Non-effector
FUN_005786-T1 FUN_005786	Y (0.536)	Y (0.776)	-	Apoplastic/cytoplasmic effector
FUN_005799-T1 FUN_005799	-	-	Y (0.929)	Non-effector
FUN_005802-T1 FUN_005802	-	-	Y (0.715)	Non-effector
FUN_005804-T1 FUN_005804	-	-	Y (0.811)	Non-effector
FUN_005809-T1 FUN_005809	-	Y (0.925)	-	Apoplastic effector
FUN_005835-T1 FUN_005835	-	-	Y (0.571)	Non-effector
FUN_005860-T1 FUN_005860	-	-	Y (0.874)	Non-effector
FUN_005870-T1 FUN_005870	-	-	Y (0.85)	Non-effector
FUN_005898-T1 FUN_005898	-	-	Y (0.628)	Non-effector
FUN_005901-T1 FUN_005901	-	Y (0.824)	-	Apoplastic effector
FUN_005915-T1 FUN_005915	-	-	Y (0.849)	Non-effector
FUN_006004-T1 FUN_006004	Y (0.578)	-	-	Cytoplasmic effector
FUN_006038-T1 FUN_006038	-	-	Y (0.537)	Non-effector
FUN_006051-T1 FUN_006051	-	-	Y (0.673)	Non-effector
FUN_006082-T1 FUN_006082	-	-	Y (0.942)	Non-effector
FUN_006107-T1 FUN_006107	-	-	Y (0.622)	Non-effector
FUN_006120-T1 FUN_006120	-	-	Y (0.935)	Non-effector
FUN_006169-T1 FUN_006169	-	-	Y (0.854)	Non-effector
FUN_006202-T1 FUN_006202	Y (0.782)	-	-	Cytoplasmic effector
FUN_006220-T1 FUN_006220	-	Y (0.532)	-	Apoplastic effector
FUN_006231-T1 FUN_006231	-	-	Y (0.585)	Non-effector
FUN_006249-T1 FUN_006249	Y (0.723)	-	-	Cytoplasmic effector
FUN_006266-T1 FUN_006266	-	-	Y (0.987)	Non-effector
FUN_006270-T1 FUN_006270	-	-	Y (0.894)	Non-effector
FUN_006291-T1 FUN_006291	-	-	Y (0.541)	Non-effector
FUN_006297-T1 FUN_006297	-	-	Y (0.851)	Non-effector
FUN_006304-T1 FUN_006304	-	-	Y (0.794)	Non-effector
FUN_006354-T1 FUN_006354	-	-	Y (0.839)	Non-effector
FUN_006364-T1 FUN_006364	-	-	Y (0.845)	Non-effector
FUN_006441-T1 FUN_006441	Y (0.513)	-	-	Cytoplasmic effector
FUN_006452-T1 FUN_006452	-	-	Y (0.58)	Non-effector
FUN_006539-T1 FUN_006539	Y (0.902)	-	-	Cytoplasmic effector
FUN_006544-T1 FUN_006544	-	-	Y (0.904)	Non-effector
